status,run_name,model_name,graph_type,horizon,seed,mae,rmse,masked_mape,is_synthetic_data
success,metr_la_5090_graph_wavenet_full_physical_h6_s42_20260609_135910,graph_wavenet_full,physical,6.0,42.0,3.613543948985242,9.879902333152268,7.80049232014587,False
success,metr_la_5090_graph_wavenet_full_physical_h6_s43_20260609_142208,graph_wavenet_full,physical,6.0,43.0,3.569771130708587,9.525983444552182,7.843163431161932,False
success,metr_la_5090_graph_wavenet_full_physical_h6_s44_20260609_143818,graph_wavenet_full,physical,6.0,44.0,3.5811050102767172,9.648095966901467,7.903034663172728,False
success,metr_la_5090_graph_wavenet_full_physical_h12_s42_20260609_145300,graph_wavenet_full,physical,12.0,42.0,4.497513626255563,11.84580389030431,9.485422934784799,False
success,metr_la_5090_graph_wavenet_full_physical_h12_s43_20260609_151129,graph_wavenet_full,physical,12.0,43.0,4.5762964307370835,11.897309371353561,9.812086879575151,False
success,metr_la_5090_graph_wavenet_full_physical_h12_s44_20260609_152915,graph_wavenet_full,physical,12.0,44.0,4.483594962517085,11.79763942641214,9.598511155020356,False
success,metr_la_5090_graph_wavenet_full_correlation_h3_s42_20260609_154949,graph_wavenet_full,correlation,3.0,42.0,3.0779995590739024,8.146731273696897,6.989058464733368,False
success,metr_la_5090_graph_wavenet_full_correlation_h3_s43_20260609_160825,graph_wavenet_full,correlation,3.0,43.0,3.042330381482701,8.104355684007526,6.916953527535359,False
success,metr_la_5090_graph_wavenet_full_correlation_h3_s44_20260609_162323,graph_wavenet_full,correlation,3.0,44.0,3.0305711557921162,8.107722733280134,6.850480368369115,False
success,metr_la_5090_graph_wavenet_full_correlation_h6_s42_20260609_164111,graph_wavenet_full,correlation,6.0,42.0,3.625373933910245,9.673107409174445,8.24477794169342,False
success,metr_la_5090_graph_wavenet_full_correlation_h6_s43_20260609_165434,graph_wavenet_full,correlation,6.0,43.0,3.6522183666219483,9.599187592337499,8.176641869217537,False
success,metr_la_5090_graph_wavenet_full_correlation_h6_s44_20260609_171052,graph_wavenet_full,correlation,6.0,44.0,3.670066484427638,9.777122647395819,8.387051161684303,False
success,metr_la_5090_graph_wavenet_full_correlation_h12_s42_20260609_172355,graph_wavenet_full,correlation,12.0,42.0,4.552643458987528,11.841825882007758,10.01665217931146,False
success,metr_la_5090_graph_wavenet_full_correlation_h12_s43_20260609_174347,graph_wavenet_full,correlation,12.0,43.0,4.566106911134418,11.972256866822807,9.927490496141665,False
success,metr_la_5090_graph_wavenet_full_correlation_h12_s44_20260609_181206,graph_wavenet_full,correlation,12.0,44.0,4.579170710889097,11.859129795918891,9.792820737350137,False
success,metr_la_5090_graph_wavenet_full_adaptive_h3_s42_20260609_183448,graph_wavenet_full,adaptive,3.0,42.0,2.9853821805638106,8.009213453586995,6.616521812920658,False
