dataset_name,model_name,model_group,horizon,mae_mean,mae_std,rmse_mean,rmse_std,masked_mape_mean,masked_mape_std,train_seconds_mean,parameter_count
metr-la,graph_wavenet_full,paper_inspired_full_graph,3,2.9578238668920545,0.02659188274785377,8.075569816268926,0.07914797544892328,6.5939942275261005,0.10967839252997734,1303.805025397179,732335
metr-la,graph_wavenet_full,paper_inspired_full_graph,6,3.586201728740219,0.026687285630092424,9.762760414205253,0.12252376824403641,7.768238825095072,0.07113297262556331,1406.4179268687342,733874
metr-la,graph_wavenet_full,paper_inspired_full_graph,12,4.538377954101823,0.014061681960228225,11.860138241000685,0.06713357055267065,9.625161030455287,0.09571138889989567,1314.1123612175386,736952
metr-la,graph_wavenet_lite,lite_graph,3,3.117502732292276,0.0007984283722927548,8.081279754262034,0.006275760666299667,7.267478894344106,0.06973583843919678,560.7422364034379,56611
metr-la,graph_wavenet_lite,lite_graph,6,3.792261141658706,0.00605045088411152,9.794232604755171,0.016278314499285542,8.778134649029564,0.032920041715625924,571.94179273583,56806
metr-la,graph_wavenet_lite,lite_graph,12,4.8819029435300605,0.008545341165913795,12.1295257303671,0.03086887904313114,11.26260215539758,0.061114059065078365,583.1688339921335,57196
metr-la,gru,temporal_only,3,5.030099185041068,0.06088415592095474,11.970544248291406,0.1726354755405856,10.020504219765789,0.12766865285651383,154.920869016399,117741
metr-la,gru,temporal_only,6,5.571762447919633,0.09384591135107953,13.147214028620022,0.2592843800780102,11.18967834080695,0.11091232493307189,149.9367422653983,158106
metr-la,gru,temporal_only,12,6.456080172517922,0.038754786195047665,14.71870671956467,0.10499648974952037,12.618785742199107,0.22993523251567002,103.70083592490603,238836
metr-la,historical_average,naive_baseline,3,5.128184731289501,0.0,11.392382622525032,0.0,11.416441754281669,0.0,3.0477021547655263,0
metr-la,historical_average,naive_baseline,6,5.680553190241583,0.0,12.508260012716198,0.0,12.638987244739019,0.0,3.9563002890596786,0
metr-la,historical_average,naive_baseline,12,6.649993847365227,0.0,14.273897726991555,0.0,14.81097539454079,0.0,5.738161030225456,0
metr-la,last_value,naive_baseline,3,3.5117249913206394,0.0,8.586177856953666,0.0,8.170721728232683,0.0,3.1860464295993247,0
metr-la,last_value,naive_baseline,6,4.230050990086729,0.0,10.398634341601129,0.0,9.740854665397594,0.0,4.258977948067089,0
metr-la,last_value,naive_baseline,12,5.436987578816605,0.0,12.960320266348488,0.0,12.345455207559956,0.0,6.172025005022685,0
metr-la,lstm,temporal_only,3,5.114122064794121,0.064003238857323,12.250006456061852,0.14914370977379887,9.892161777248939,0.18497655666927507,237.8229295273001,143533
metr-la,lstm,temporal_only,6,5.519118222938808,0.04042851260326101,13.104760741691818,0.04452128804986061,10.891190053807819,0.0941511244371634,134.21063322232416,183898
metr-la,lstm,temporal_only,12,6.774079616912318,0.29655687354458893,15.334651639218029,0.46282902132864034,13.024430026531311,0.4588061732821177,111.61830817659695,264628
metr-la,seasonal_naive,naive_baseline,3,5.128184731289501,0.0,11.392382622525032,0.0,11.416441754281669,0.0,2.92134795182695,0
metr-la,seasonal_naive,naive_baseline,6,5.680553190241583,0.0,12.508260012716198,0.0,12.638987244739019,0.0,4.019955176239212,0
metr-la,seasonal_naive,naive_baseline,12,6.649993847365227,0.0,14.273897726991555,0.0,14.81097539454079,0.0,5.744944326579571,0
metr-la,stgcn_full,paper_inspired_full_graph,3,3.0950578689498722,0.0023201186845025422,8.310356462007876,0.022952164105687175,7.151547986301182,0.03487021408197165,892.6024647820741,186115
metr-la,stgcn_full,paper_inspired_full_graph,6,3.7470503131883324,0.004921801211707925,9.959279053072736,0.032278087217275056,8.601158770375887,0.04246868242781335,920.073044866013,186310
metr-la,stgcn_full,paper_inspired_full_graph,12,4.772343905368589,0.007481773703614389,12.223291424303682,0.028593800919432737,10.72359670627489,0.15130053384871742,922.341349662592,186700
metr-la,stgcn_improved,lite_graph,3,3.277484412951867,0.014493898336492844,8.234615805737333,0.029383525364090727,7.456098631861221,0.0108795340947422,402.04928578964126,58307
metr-la,stgcn_improved,lite_graph,6,3.976387840318603,0.007189486275072397,10.065554289533207,0.021985434099694008,8.880289635678077,0.014946418674813767,533.9697665482139,58502
metr-la,stgcn_improved,lite_graph,12,5.150718907076883,0.0186372550626911,12.404194477619269,0.02324347277963814,11.566566467647219,0.058761426413796204,463.6682408489287,58892
