model_name,graph_type,horizon,mae_mean,mae_std,rmse_mean,rmse_std,masked_mape_mean,masked_mape_std
graph_wavenet_full,adaptive,3.0,2.9683103699151103,0.0262390822738568,7.973856629597062,0.03093900480448096,6.608034779369787,0.009576214631482161
graph_wavenet_full,adaptive,6.0,3.588140029990182,0.02271857239676152,9.684660581535306,0.17977033462023337,7.848896804826843,0.05151103482309019
graph_wavenet_full,adaptive,12.0,4.519135006503244,0.04999003516098958,11.846917562690004,0.04984430439672636,9.632006989793435,0.16588794837738463
graph_wavenet_full,correlation,3.0,3.0503003654495733,0.024698255865325387,8.119603230328186,0.023553817269437602,6.918830786879281,0.06930811839148662
graph_wavenet_full,correlation,6.0,3.64921959498661,0.022496677341956824,9.683139216302587,0.08939070880323137,8.26949032419842,0.10735941493831112
graph_wavenet_full,correlation,12.0,4.5659736936703474,0.013264127695852621,11.891070848249818,0.07083949158457586,9.912321137601088,0.11268411902979407
graph_wavenet_full,identity,3.0,3.0362979441623845,0.035749650045759834,8.170274330846212,0.16704614297947457,6.832560519499726,0.09618452840781862
graph_wavenet_full,identity,6.0,3.675807003357235,0.06539837654170289,9.807391580184289,0.09491855791635247,8.250078904693751,0.29907092429515547
graph_wavenet_full,identity,12.0,4.551072207558877,0.048955232309219464,11.888303008383692,0.0491134438618949,9.799757410206483,0.11900447979470818
graph_wavenet_full,physical,3.0,2.9683103699151103,0.0262390822738568,7.973856629597062,0.03093900480448096,6.608034779369787,0.009576214631482161
graph_wavenet_full,physical,6.0,3.588140029990182,0.02271857239676152,9.684660581535306,0.17977033462023337,7.848896804826843,0.05151103482309019
graph_wavenet_full,physical,12.0,4.519135006503244,0.04999003516098958,11.846917562690004,0.04984430439672636,9.632006989793435,0.16588794837738463
graph_wavenet_lite,adaptive,3.0,3.1178637202150874,0.002579507288893219,8.083209318447496,0.007712283741538214,7.268853928687819,0.027061095931514092
graph_wavenet_lite,adaptive,6.0,3.7978299024730107,0.002777826829608882,9.799293494880953,0.008257370844856582,8.800566239121823,0.054937373237488964
graph_wavenet_lite,adaptive,12.0,4.885531852034549,0.016757788607405313,12.138216353312908,0.0508135083432461,11.137313232800814,0.12674459705045907
graph_wavenet_lite,correlation,3.0,3.1067712223207007,0.008565048389271907,8.066743720091674,0.0013608538342154905,7.233691571671264,0.02866114272947324
graph_wavenet_lite,correlation,6.0,3.7703050551847306,0.005206508213551297,9.78081151498801,0.01818158802873835,8.7043890286911,0.05115887838162722
graph_wavenet_lite,correlation,12.0,4.810564071974574,0.009859619284147811,12.021237858911176,0.03858893749329909,11.037487146399826,0.02721404280065617
graph_wavenet_lite,identity,3.0,3.1351995838597357,0.008098513279605186,8.116152135057849,0.02808724162387818,7.382709771176837,0.033031164298017585
graph_wavenet_lite,identity,6.0,3.8070932218411087,0.015604890110854714,9.829473493396234,0.013356460678801165,8.908268730552706,0.023862713860438988
graph_wavenet_lite,identity,12.0,4.891705108856329,0.01565849724717892,12.149208397629344,0.02341973139604027,11.425886265865165,0.015896894995728817
graph_wavenet_lite,physical,3.0,3.1178637202150874,0.002579507288893219,8.083209318447496,0.007712283741538214,7.268853928687819,0.027061095931514092
graph_wavenet_lite,physical,6.0,3.7978299024730107,0.002777826829608882,9.799293494880953,0.008257370844856582,8.800566239121823,0.054937373237488964
graph_wavenet_lite,physical,12.0,4.885531852034549,0.016757788607405313,12.138216353312908,0.0508135083432461,11.137313232800814,0.12674459705045907
stgcn_full,correlation,3.0,3.100039585427389,0.004033948569819103,8.235052912522479,0.015386550426663887,7.130552437724011,0.005697790611448433
stgcn_full,correlation,6.0,3.767320340188563,0.004243399236894057,9.903653181732748,0.014205639718766734,8.592681662225898,0.06575131978035298
stgcn_full,correlation,12.0,4.742540129967551,0.01606539110087344,12.053112896950267,0.057012461199960125,10.449428125724268,0.08161060107084218
stgcn_full,identity,3.0,3.1913648132920933,0.0010680374009067698,8.359562613234552,0.019041585029680723,7.512245192381027,0.024379341522462416
stgcn_full,identity,6.0,3.9160737730509787,0.003012077319422086,10.22653856972167,0.02080462052135121,9.165325968298147,0.044397605838189025
stgcn_full,identity,12.0,5.09264232451643,0.006557486870744348,12.654571390259072,0.03225636761929958,11.833072659802177,0.06787524603087368
stgcn_full,physical,3.0,3.0909845584048288,0.005012447401959224,8.290346495202217,0.00564949988080799,7.182806380539955,0.011630768504503486
stgcn_full,physical,6.0,3.7560740768853145,0.006330012421640728,9.962753325594528,0.015262885619083053,8.616799233979705,0.02946597430689137
stgcn_full,physical,12.0,4.785823955855098,0.011795583672339951,12.221921090885749,0.009870813214027385,10.60059154402322,0.060326744339320344
stgcn_improved,correlation,3.0,3.8061822359254713,0.29154620775352647,8.633560443857844,0.3848783068717305,9.078841277703463,1.0742733060202054
stgcn_improved,correlation,6.0,4.413104871044932,0.21531846180947348,10.13742162451178,0.16499349900542115,10.349410478063065,0.6870377484006153
stgcn_improved,correlation,12.0,5.440532561866429,0.1432325778599476,12.26580416684178,0.2375578594862058,12.21309696998327,0.46777300623637186
stgcn_improved,identity,3.0,3.312418953598326,0.04520169804872821,8.332408263092887,0.04318508707704847,7.730879051929494,0.039118984183242785
stgcn_improved,identity,6.0,4.032875026392804,0.06638150835295703,10.161771607971174,0.03453706464926756,9.243545255779859,0.106718697606432
stgcn_improved,identity,12.0,5.281905159743063,0.10008881740004173,12.52969511888775,0.022348645107061894,11.928066504147706,0.0602125551599978
stgcn_improved,physical,3.0,3.276588160880251,0.0031098366009395637,8.219691030705546,0.029482468001979425,7.4292083952080405,0.057160962568139934
stgcn_improved,physical,6.0,3.976421052270492,0.0011184273933556258,10.07652647928474,0.027072379559550788,8.907391399147473,0.05019663728257082
stgcn_improved,physical,12.0,5.144120507809639,0.022918376870216767,12.388617981260552,0.03146084873929234,11.514049482755645,0.04841888136921495
